sNum,sID,months,days,sex,cond,condLabel,trial,GNG,trialType,stimName,habCrit,habTrialNo,sumOnA,numOnA,sumOffA,numOffA,sumOnB,numOnB,sumOffB,numOffB,trialDuration
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,1,1,calibration-short,calib-short,0,,18.589027917478234,2,0.4225814579986036,2,0,0,19.011611375026405,1,19.011609375476837
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,2,1,train,psych-train-flip,0,,58.697118708863854,7,1.3036064156331122,6,0,0,60.000725083984435,1,60.00072512449697
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,3,1,fam,phys-fam-flip,0,,57.21413912670687,4,2.787823624908924,3,0,0,60.00196350039914,1,60.00196275161579
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,4,1,train,psych-train,0,,56.88664462417364,8,3.115342456381768,7,0,0,60.00198849989101,1,60.00198708055541
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,5,1,fam,phys-fam,0,,54.89082920970395,10,5.111283122096211,10,0,0,60.00211566640064,1,60.00211233180016
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,6,1,train,psych-train-flip,0,,39.102395749650896,5,6.883819873444736,5,0,0,45.98622499965131,1,45.98621562309563
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,7,1,fam,phys-fam-flip,0,,52.58067025244236,10,7.421304083894938,9,0,0,60.00197358382866,1,60.0019743363373
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,8,1,train,psych-train,0,,23.911926416680217,3,4.89601670904085,3,0,0,28.807950042188168,1,28.807943125721067
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,9,1,fam,phys-fam,0,,43.08664466999471,19,16.23153870785609,19,0,0,59.31819337513298,1,59.3181833778508
4,sub_LIU_TLAO_s004,7,10,,"{'train': ['psych-train-flip', 'psych-train'], 'fam': ['phys-fam-flip', 'phys-fam'], 'test': ['phys-unexp', 'phys-exp', 'phys-unexp-flip', 'phys-exp-flip'], 'calibration-short': ['calib-short'], 'calibration-long': ['calib-long']}",2,10,1,test,phys-unexp,0,,23.848207209724933,14,20.770577042829245,14,0,0,44.618792874738574,1,44.61878425255418
