trialNum,trialType,event,time
1,calibration-short,startAttnGetter,0.010972334071993828
1,calibration-short,endAttnGetter,3.594326749909669
1,calibration-short,startTrial,4.50114691676572
1,calibration-short,endTrial,23.519745208788663
2,train,startAttnGetter,24.13448066683486
2,train,endAttnGetter,27.198368499986827
2,train,startTrial,28.400217874906957
2,train,endTrial,88.41379929194227
3,fam,startAttnGetter,89.45108491694555
3,fam,endAttnGetter,92.53340470883995
3,fam,startTrial,93.14485133392736
3,fam,endTrial,153.15328049985692
4,train,startAttnGetter,154.0688592917286
4,train,endAttnGetter,157.5451167500578
4,train,startTrial,159.53387508401647
4,train,endTrial,219.547113167122
5,fam,startAttnGetter,220.21859487472102
5,fam,endAttnGetter,223.31215999973938
5,fam,startTrial,225.87887854175642
5,fam,endTrial,285.8864007499069
6,train,startAttnGetter,286.6016914998181
6,train,endAttnGetter,289.64592291694134
6,train,startTrial,292.8011374589987
6,train,endTrial,338.79776745894924
7,fam,startAttnGetter,339.6695034587756
7,fam,endAttnGetter,342.7187069999054
7,fam,startTrial,343.9463120000437
7,fam,endTrial,403.9543274589814
8,train,startAttnGetter,405.3035430419259
8,train,endAttnGetter,408.34657245874405
8,train,startTrial,409.73038016678765
8,train,endTrial,438.548293416854
9,fam,startAttnGetter,439.74676883406937
9,fam,endAttnGetter,442.7869277088903
9,fam,startTrial,442.9697172087617
9,fam,endTrial,502.2988649168983
10,test,startAttnGetter,504.0863917917013
10,test,endAttnGetter,507.1471553747542
10,test,startTrial,508.4859535000287
10,test,endTrial,553.1157732917927
11,test,startAttnGetter,553.7307922500186
11,test,endAttnGetter,556.769340292085
11,test,startTrial,557.9474264997989
11,test,endTrial,572.3490459588356
12,test,startAttnGetter,573.1041880841367
12,test,endAttnGetter,576.1641830001026
12,test,startTrial,577.2364287497476
12,test,endTrial,589.4723791247234
13,test,startAttnGetter,590.0309806670994
13,test,endAttnGetter,593.0643798750825
13,test,startTrial,595.0031260838732
13,test,endTrial,604.3827322497964
14,calibration-long,startAttnGetter,605.5979682919569
14,calibration-long,endAttnGetter,608.7644316670485
14,calibration-long,startTrial,609.0811612089165
14,calibration-long,endTrial,628.0871598338708
