trialNum,trialType,event,time
0,audio-test,startAttnGetter,-22.832773400004957
0,audio-test,endAttnGetter,-19.733272000012224
0,audio-test,startTrial,-19.149863500002542
0,audio-test,endTrial,4.116632299992482
1,calibration-short,startAttnGetter,13.040058599988694
1,calibration-short,endAttnGetter,16.122477400000204
1,calibration-short,startTrial,16.28862089998437
1,calibration-short,endTrial,35.32068499998422
2,train,startAttnGetter,43.7468944999855
2,train,endAttnGetter,46.83071179999388
2,train,startTrial,46.996529599971836
2,train,endTrial,107.05234629998449
3,fam,startAttnGetter,108.24322699999902
3,fam,endAttnGetter,111.34189119999064
3,fam,startTrial,111.5089081999904
3,fam,endTrial,171.5465922000003
4,train,startAttnGetter,172.8566171999846
4,train,endAttnGetter,175.9886739999929
4,train,startTrial,176.15532239997992
4,train,endTrial,217.2497912999825
5,fam,startAttnGetter,217.72739109999384
5,fam,endAttnGetter,220.80910409998611
5,fam,startTrial,220.97508659999585
5,fam,endTrial,262.0357613999804
6,train,startAttnGetter,262.67912049998995
6,train,endAttnGetter,265.7609926999721
6,train,startTrial,265.9275953999895
6,train,endTrial,292.89254279999295
7,fam,startAttnGetter,293.60312769998563
7,fam,endAttnGetter,296.6860420999874
7,fam,startTrial,296.8514235999901
7,fam,endTrial,307.9397579999932
8,train,startAttnGetter,308.93081559997523
8,train,endAttnGetter,312.0245259999938
8,train,startTrial,312.19689659998403
8,train,endTrial,328.64886969997315
9,fam,startAttnGetter,329.7423721999803
9,fam,endAttnGetter,332.84037479999824
9,fam,startTrial,333.0071527999826
9,fam,endTrial,341.9455740999838
10,test,startAttnGetter,342.8035275999864
10,test,endAttnGetter,345.88608339999337
10,test,startTrial,346.0528449999984
10,test,endTrial,352.94034559998545
11,test,startAttnGetter,353.6521737999865
11,test,endAttnGetter,356.7337969999935
11,test,startTrial,356.8998935999989
11,test,endTrial,362.9877481999865
12,test,startAttnGetter,363.49846839997923
12,test,endAttnGetter,366.5637405999878
12,test,startAttnGetter,366.7309217999864
12,test,endAttnGetter,369.7957592999737
12,test,startTrial,370.21491989999777
12,test,endTrial,380.5815159999765
13,test,startAttnGetter,381.8763218999957
13,test,endAttnGetter,384.9580249999999
13,test,startTrial,385.12383399999817
13,test,endTrial,401.5754727999738
14,calibration-long,startAttnGetter,402.252803499985
14,calibration-long,endAttnGetter,405.3508186999825
14,calibration-long,startTrial,405.5186049999902
14,calibration-long,endTrial,424.5673575999972
